da_1hr_lmp ($/MWh),Datetime
8.77385,2023-05-12T01:00:00.000Z
29.06821,2023-05-12T02:00:00.000Z
44.65627,2023-05-12T03:00:00.000Z
48.99569,2023-05-12T04:00:00.000Z
39.20553,2023-05-12T05:00:00.000Z
28.39728,2023-05-12T06:00:00.000Z
20.18368,2023-05-12T07:00:00.000Z
14.25253,2023-05-12T08:00:00.000Z
12.41661,2023-05-12T09:00:00.000Z
12.32351,2023-05-12T10:00:00.000Z
14.50541,2023-05-12T11:00:00.000Z
19.26602,2023-05-12T12:00:00.000Z
29.93745,2023-05-12T13:00:00.000Z
32.25235,2023-05-12T14:00:00.000Z
13.17728,2023-05-12T15:00:00.000Z
1.29629,2023-05-12T16:00:00.000Z
-0.04743,2023-05-12T17:00:00.000Z
-1.12251,2023-05-12T18:00:00.000Z
-0.83473,2023-05-12T19:00:00.000Z
-1.04814,2023-05-12T20:00:00.000Z
-0.05142,2023-05-12T21:00:00.000Z
0.21078,2023-05-12T22:00:00.000Z
3.5772,2023-05-12T23:00:00.000Z
9.65953,2023-05-13T00:00:00.000Z
20.78741,2023-05-13T01:00:00.000Z
38.69146,2023-05-13T02:00:00.000Z
56.9745,2023-05-13T03:00:00.000Z
54.90217,2023-05-13T04:00:00.000Z
40.89511,2023-05-13T05:00:00.000Z
27.32802,2023-05-13T06:00:00.000Z
21.78878,2023-05-13T07:00:00.000Z
21.04909,2023-05-13T08:00:00.000Z
16.70842,2023-05-13T09:00:00.000Z
14.6232,2023-05-13T10:00:00.000Z
15.39745,2023-05-13T11:00:00.000Z
19.24104,2023-05-13T12:00:00.000Z
21.10059,2023-05-13T13:00:00.000Z
20.11211,2023-05-13T14:00:00.000Z
1.66031,2023-05-13T15:00:00.000Z
-3.95211,2023-05-13T16:00:00.000Z
-5.95883,2023-05-13T17:00:00.000Z
-9.74779,2023-05-13T18:00:00.000Z
-9.63734,2023-05-13T19:00:00.000Z
-9.64465,2023-05-13T20:00:00.000Z
-6.01818,2023-05-13T21:00:00.000Z
-2.69197,2023-05-13T22:00:00.000Z
0.57547,2023-05-13T23:00:00.000Z
4.65551,2023-05-14T00:00:00.000Z
